iter	Passed	Remaining
0	14	1413
1	26	1305
2	38	1243
3	51	1225
4	62	1194
5	75	1176
6	86	1152
7	98	1133
8	109	1111
9	122	1100
10	134	1090
11	147	1081
12	159	1068
13	170	1050
14	182	1035
15	195	1025
16	206	1009
17	218	994
18	230	983
19	243	973
20	255	961
21	267	947
22	278	933
23	292	924
24	304	912
25	316	900
26	329	889
27	341	878
28	354	867
29	367	856
30	378	843
31	391	832
32	403	819
33	416	807
34	428	796
35	441	784
36	454	773
37	467	762
38	479	749
39	491	737
40	504	725
41	516	713
42	529	702
43	542	689
44	554	677
45	567	666
46	580	654
47	592	642
48	605	630
49	617	617
50	631	606
51	643	594
52	657	582
53	670	570
54	683	559
55	696	547
56	709	534
57	722	523
58	734	510
59	747	498
60	759	485
61	771	472
62	783	460
63	795	447
64	808	435
65	820	422
66	832	410
67	844	397
68	856	384
69	868	372
70	880	359
71	892	347
72	904	334
73	916	322
74	929	309
75	941	297
76	953	284
77	966	272
78	977	259
79	990	247
80	1001	234
81	1015	222
82	1027	210
83	1039	197
84	1051	185
85	1063	173
86	1075	160
87	1087	148
88	1099	135
89	1111	123
90	1123	111
91	1136	98
92	1148	86
93	1161	74
94	1173	61
95	1184	49
96	1196	36
97	1208	24
98	1220	12
99	1232	0
