iter	Passed	Remaining
0	10	10224
1	18	9274
2	27	9003
3	35	8832
4	43	8694
5	52	8624
6	60	8555
7	69	8557
8	78	8691
9	88	8767
10	98	8838
11	108	8922
12	118	8988
13	127	8950
14	135	8921
15	144	8876
16	153	8862
17	162	8844
18	171	8836
19	179	8813
20	188	8794
21	197	8766
22	206	8753
23	214	8734
24	223	8718
25	232	8696
26	240	8679
27	249	8662
28	258	8664
29	267	8645
30	276	8632
31	284	8621
32	293	8606
33	302	8594
34	311	8575
35	319	8568
36	328	8554
37	337	8545
38	346	8540
39	355	8529
40	364	8519
41	372	8507
42	381	8498
43	390	8485
44	399	8483
45	409	8483
46	418	8476
47	426	8467
48	435	8455
49	444	8448
50	453	8436
51	462	8426
52	471	8425
53	480	8416
54	489	8406
55	497	8388
56	506	8385
57	515	8371
58	524	8359
59	533	8351
60	541	8342
61	550	8332
62	559	8325
63	568	8319
64	577	8311
65	586	8295
66	595	8287
67	604	8279
68	612	8267
69	621	8256
70	630	8246
71	639	8237
72	647	8228
73	656	8217
74	665	8206
75	674	8199
76	683	8193
77	692	8190
78	701	8180
79	710	8171
80	719	8166
81	728	8159
82	737	8152
83	746	8143
84	755	8134
85	764	8125
86	773	8118
87	782	8108
88	790	8095
89	799	8084
90	808	8075
91	817	8068
92	826	8058
93	834	8046
94	843	8039
95	852	8030
96	861	8020
97	870	8012
98	879	8006
99	888	7998
100	897	7989
101	906	7978
102	915	7970
103	924	7963
104	933	7954
105	941	7944
106	950	7932
107	959	7921
108	968	7916
109	977	7908
110	986	7904
111	996	7900
112	1005	7889
113	1013	7878
114	1023	7872
115	1032	7867
116	1041	7858
117	1049	7847
118	1058	7838
119	1067	7830
120	1076	7821
121	1085	7812
122	1094	7801
123	1103	7794
124	1111	7783
125	1120	7774
126	1129	7764
127	1137	7751
128	1146	7742
129	1155	7731
130	1164	7721
131	1172	7711
132	1181	7702
133	1190	7692
134	1201	7698
135	1211	7695
136	1220	7689
137	1229	7681
138	1239	7674
139	1248	7669
140	1257	7662
141	1266	7654
142	1276	7650
143	1285	7641
144	1294	7631
145	1303	7623
146	1311	7612
147	1320	7604
148	1329	7594
149	1339	7588
