Company,Current_Ticker,Ticker_At_Start,Activist_Group,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Date_And_Time,Year,Month,Date,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return,Hp_Alpha,One_Year_Alpha,Follower_Alpha,Activist_Tactics
Digirad Corp,STRR US Equity,DRAD US,Red Oak Partners LLC,4: Board Control; Cost Cutting; Other (Reduce threshold to 10% for special meeting); Compensation Changes,57.61317,46818100,5.41,Start: 2013-03-18. UTC: 2013-03-18T21:15:23.000Z,2013,3,18,Secondary Focus,2532859,1.234568,46.96211,55.69106,57.61317,42.60003,24.5367,40.40065,Threaten Fight; Letter to Company; Formal Notice for Proxy Fight; Call for Meeting
Autoinfo Inc,1544706D US Equity,AUTO US,Ancora Advisors LLC,Stake Only 13D: No Public Activism,-5.45455,37637700,5.92,Start: 2013-03-22. UTC: 2013-03-22T19:57:36.000Z,2013,3,22,Core Activist,2228152,2.727273,-5.45455,-7.9646,-5.45455,-8.15251,-8.15251,-9.93103,
Destination XL Group Inc,DXLG US Equity,DXLG US,Red Mountain Capital Partners LLC,Discussions only,29.38775,2.38E+08,7.3,Start: 2013-03-25. UTC: 2013-03-25T21:16:40.000Z,2013,3,25,Former Core,17385081,2.653061,7.857143,26.04374,3.084066,-211.336,-14.0729,-211.934,
Gleacher & Co Inc,GLCH US Equity,GLCH US,"Clinton Group Inc/New York, Lee Fensterstock, and Thomas J Hughes",2: Board Control; Support 3rd Party Activist,10.27569,73760500,7.7,Start: 2013-03-26. UTC: 2013-03-26T20:30:00.452Z,2013,3,26,Former Core,5679559,0.281955,-5.68087,9.965635,10.27569,4.36814,-26.4196,4.001661,Letter to Company; Formal Notice for Proxy Fight
Hemisphere Media Group Inc,HMTV US Equity,AZTA US,Luxor Capital Group LP,Stake Only 13D: No Public Activism,14.97585,1.29E+08,23,Start: 2013-03-26. UTC: 2013-03-26T20:56:22.000Z,2013,3,26,Secondary Focus,29756250,0,20.57971,14.97585,3.343008,-55.4171,-0.15904,,
ARI Network Services Inc,1921171D US Equity,ARIS US,Wynnefield Capital Inc,Stake Only 13D: 1 Board Seat Granted,15.54398,21697500,9.8,Start: 2013-03-28. UTC: 2013-03-28T10:02:58.000Z,2013,3,28,Former Core,2126355,-7.40741,18.51852,24.7875,6.617477,-22.358,-2.84989,-12.5564,
Sigma Designs Inc,SIGM US Equity,SIGM US,Raging Capital Management LLC,3: Cost Cutting; Return Capital/Buybacks; Board Representation,13.06122,1.64E+08,5.6,Start: 2013-04-03. UTC: 2013-04-03T21:30:43.000Z,2013,4,3,Former Core,9181234,1.020408,-5.5102,11.91919,13.06122,-1.17225,-28.0938,,
MutualFirst Financial Inc,MFSF US Equity,MFSF US,PL Capital Advisors LLC,Discussions only,100.2712,1.01E+08,8,Start: 2013-04-04. UTC: 2013-04-04T20:02:54.000Z,2013,4,4,Secondary Focus,8112336,0.558659,35.28213,99.15861,10.26988,-16.8367,13.2008,-18.8843,Letter to Company
Jefferson Bancshares Inc/TN,JFBI US Equity,JFBI US,Stilwell Value LLC,3: Sale of Company; Strategic Review; Board Representation,43.97031,35734600,5.6,Start: 2013-04-08. UTC: 2013-04-08T20:51:43.000Z,2013,4,8,Core Activist,2001138,-0.37106,44.34137,44.50652,43.97031,23.63954,22.02724,24.6013,Letter to Company
Ashland Inc,ASH US Equity,ASH US,JANA Partners LLC,1: Break Up,62.96009,6.23E+09,7.4,Start: 2013-04-11. UTC: 2013-04-11T20:28:32.000Z,2013,4,11,Core Activist,4.61E+08,9.932767,22.31953,48.23615,26.43136,25.49453,5.95811,10.38229,
